delta,size
43114663,61.616941
27591911,30.418273
35500894,63.052382
3724058,6545.965894
6689254,156.537765
91427063,41.947653
50025324,33.91631
3369186,3781.927815
22425776,143.588933
87870359,66.160357
8664935,33.914748
12462991,81.728988
7028927,37.225768
16803416,87.573355
13633333,806.21
28063090,25
13676997,90.903553
3963796,8825.729088
43292026,56.433772
22135930,111.942521
31093080,131.150408
29161278,140.103542
6374689,93.181083
10113545,131.928525
21985712,96.208998
13015166,131.493165
9702769,46.437661
61476671,38.975419
4543755,961.582
13632210,49.328099
40968217,39.426268
73852291,42.619
12501221,37.986255
7638287,210.440883
4033842,4488.253421
3694013,48.3
41089423,33.677786
34293178,78.743348
33285132,33
6810139,3177.905308
9617722,553.464258
11102743,69.324633
58672714,40.424675
9353136,58.806596
6407307,68.764001
37737366,42
13265768,167.257596
14429607,1609.841365
21544629,41.772999
30795301,88.146
6918384,476.728517
8162079,1289.699398
11386234,76.237268
18647523,63.819166
32160049,36.660535
78671677,25.885
19866781,39.134441
26409416,9.999999
77536583,27.990079
5520266,173.245003
6225081,75.584796
2979386,4758.57188
12871094,194.164
10292041,40.211964
11147072,90.981085
18078666,58.48518
37992726,37.447157
34923466,30.055
29286464,173.126711
2963159,9378.903605
9733807,53.707
22130425,131.867089
6542799,93.552281
29917179,25.807
35134117,21.942353
8005186,105.372727
111005507,25.438142
17366441,63.488412
15229166,50.303752
23286329,19.999999
7661567,401.494978
39393705,20.499852
30186311,30.318943
28119913,25
6871107,190.087059
25353948,44.665237
3255412,4756.921862
8507893,192.213689
9843865,312.462737
14364336,46.361735
18612477,64.897911
73311973,45.544391
32053552,131.619124
15188338,131.278981
7494660,58.144694
22933075,102.58
46383537,88.548764
4210810,26.000478
43365954,34.091806
13758996,132.596261
65298254,31.039996
16327281,44.137
7903801,59.562532
12806967,101.568979
10046129,29.124926
11295626,36.028528
9643724,110.738499
23225522,102.967
25967024,46.981771
3175678,9375.561379
14308110,49.65
6015566,67.475863
73399420,31.536117
11417561,193.915318
8044940,58.455237
23210790,42.972135
13935428,84.395584
7001751,104.197643
3773062,5119.135677
5121924,63.251355
19305538,47.427236
8424105,29.621978
6996571,108.683964
11594177,24250.22017
4467603,3803.086845
50445532,121.276729
21467750,257.926844
97717332,62.490715
5691478,50.637088
5267285,363.746488
57224487,25.313441
5483156,53.761638
17646621,190.079948
4214875,529.311527
19678023,42.544922
10582730,260.294332
13110756,127.507705
6588388,145.688635
6201016,5024.031491
140428555,21.3
6630858,254.318
32734223,166.121801
9223738,40.004
10201292,29.285652
6147043,300.922
19620544,76.590272
8803202,96.587094
31308907,176.068
4655791,67.393101
16320901,104.488492
78868050,42.86
7272149,655.691307
4758573,1530.815026
6693288,53.701129
14046894,130.755
50998629,33.835404
6333505,3243.94
5160276,50.119713
4382833,4335.529037
9887388,486.064134
15958525,134.29667
9619391,132.635167
22950430,46.822695
21144800,40.923275
4364414,1626.46926
11898449,62.52882
11763115,50.038106
7852525,32.679608
2923654,4758.571
16949542,141.117122
12174429,30.4945
31907336,129.888585
14774036,1609.21497
8901080,57.454267
21719355,36.662782
24599436,20.139
24656019,179.312131
5200015,3922.096836
25604266,82.845835
3692776,126.160448
19894756,176.632023
2851674,105.651341
5596162,646.381
5628968,534.578722
6892383,348.650027
16667006,22.477391
3373397,4989.488047
24857243,159.677439
14542631,21.211577
32364021,130.617249
26056650,187.316
43071369,27.245874
24194394,45.051164
21310445,157.377469
17945878,62.454029
9607453,134.512501
35910076,77.588723
34284270,29.387764
27953593,59.078746
23199160,175.527
13310367,68.311571
18382906,129.871
12123190,89.787033
31660451,129.404388
19485507,57.071476
23601420,92.169651
23652079,19.999999
5858179,649.777
35828209,73.319085
27331339,129.138
27906772,641.827338
25940906,16.741698
12518950,29.249053
15705003,107.81767
6324243,264.135248
5586697,89.730674
24669147,285.412928
4468038,1722.376
9636323,106.840231
4371782,775.258
9347839,143.222739
15707330,51
10634415,997.98
15763024,34.953081
13522424,90.101762
7159444,837.718124
8354643,54.765534
19403926,24.228
12060656,104.048878
8384967,133.983156
11320602,26.475349
6824846,811.339051
44205618,85.345519
7322075,32.002697
23505887,89.413518
22269822,21.842653
4160440,3168.946
36583022,51.616235
32841588,50
5407565,88.94
35253147,38.891725
22599899,130.614587
13217498,50
38985553,101.298901
24932459,17.999999
6243988,51.900438
59269882,22.903
3201368,6877.1157
30861948,50.897731
12330551,134.111151
6926684,78.621096
32797941,94.583914
11221004,75.871947
17059100,55.078381
28883290,71.336135
7545351,50.333506
12540464,148.887047
32286520,88.368514
12722685,173.173025
13982733,100
12119315,60.510278
4168863,176.217042
7909159,317.230107
82460077,45.475867
9867307,153.151479
18049082,68.73015
12567582,261.811381
13078912,132.791
42126746,65.091137
13170250,76.054793
5085193,4098.90227
17005080,58.145352
3065791,2243.673034
20970649,77.610267
101736832,3178.64838
27399398,35
5961224,186.069348
33260150,45.056427
25465733,21
11358058,48.427403
12040965,52.291629
149227040,18.5
40723538,83.861271
5879921,4149.106345
7287790,87.535257
6198771,62.891397
23943116,183.205119
47450504,43.9196
33747107,91.565
36211105,50
102485776,27.5309
17605142,103.480223
2919457,9450.975167
29960000,34.453784
6529459,208.326063
6728582,264.48876
21170684,76.826998
11380250,39.774559
23756184,131.269279
10450845,46.422984
8141917,38.290575
11082168,57.327978
30931716,18.892422
19961590,67.201628
28761111,103.148492
24392647,111.730327
7380184,298.553
19879356,17.266
57970439,169.950595
4413363,1722.376455
68583397,46.129439
5623076,55.763584
30726451,21.792819
4146588,4024.457024
4061079,3169.092746
21680512,46.748346
